tfnames,fetal_expressed_bool,pn_expressed_bool
NF2L2,True,True
NFAC1,False,True
NFAC2,True,True
NFAC3,True,True
NFAC4,False,False
NFE2,False,False
NFIA,False,False
NFIC,True,True
NFKB1,True,True
NFKB2,False,True
NFYA,True,True
NFYB,False,False
NFYC,True,True
NKX21,False,False
NKX25,False,False
NKX28,False,False
NKX31,False,False
NKX32,False,False
NKX61,False,False
NOBOX,False,False
NR1D1,False,False
NR1H3,False,False
NR1H4,False,False
NR1I2,False,False
NR1I3,False,False
NR2C1,True,True
NR2C2,True,True
NR2E3,False,False
NR4A1,False,True
NR4A2,False,True
NR5A2,False,False
NR6A1,False,False
NRF1,False,True
OLIG2,False,False
OSR2,False,False
OTX2,False,False
OVOL1,False,False
OZF,True,True
P53,True,True
P63,False,False
P73,False,False
PATZ1,True,True
PAX5,False,False
PAX6,False,False
PBX1,False,False
PBX2,True,True
PBX3,False,False
PDX1,False,False
PEBB,True,True
PIT1,False,False
PKNX1,False,False
PO2F1,False,False
PO2F2,True,True
PO3F1,False,False
PO3F2,False,False
PO5F1,False,False
PPARA,False,False
PPARG,False,False
PRD14,False,False
PRDM1,False,True
PRDM6,False,False
PRGR,False,False
PRRX2,False,False
PTF1A,False,False
RARA,False,False
RARG,False,False
REL,False,True
RELB,False,True
REST,True,True
RFX1,False,False
RFX2,False,False
RFX3,False,False
RFX5,True,True
RORA,False,False
RORG,False,False
RUNX1,True,True
RUNX2,False,True
RUNX3,False,False
RXRA,True,True
RXRB,True,True
RXRG,False,False
SALL4,False,False
SIX1,False,False
SIX2,False,False
SMAD2,True,True
SMAD3,True,True
SMAD4,True,True
SMCA1,True,True
SMCA5,True,True
SNAI1,False,False
SNAI2,False,False
SOX10,False,False
SOX17,False,False
SOX2,False,False
SOX3,False,False
SOX4,True,False
SOX5,False,False
SOX9,False,False
SP1,True,True
SP2,True,True
SP3,True,True
SP4,False,False
SPI1,True,True
SPIB,False,False
SRBP1,True,True
SRBP2,True,True
SRF,True,True
SRY,False,False
STA5A,True,True
STA5B,True,True
STAT1,True,True
STAT2,True,True
STAT3,True,True
STAT4,False,False
STAT6,True,True
STF1,False,False
SUH,True,True
TAF1,False,True
TAL1,True,True
TBP,True,True
TBX21,False,False
TBX3,False,False
TCF7,False,False
TEAD1,False,False
TEAD4,False,False
TF65,True,True
TF7L1,False,False
TF7L2,False,False
TFAP4,False,False
TFDP1,True,False
TFE2,True,True
TFE3,True,True
TFEB,True,True
TGIF1,False,True
THA,False,False
THA11,True,True
THAP1,False,False
THB,False,False
TWST1,False,False
TYY1,True,True
USF1,True,True
USF2,True,True
VDR,False,False
VEZF1,True,True
WT1,False,False
Z324A,False,False
Z354A,False,False
ZBT14,True,True
ZBT17,False,True
ZBT18,True,True
ZBT48,False,True
ZBT7A,True,True
ZBTB6,False,False
ZEB1,False,False
ZFP28,False,False
ZFP42,False,False
ZFP82,False,False
ZFX,True,True
ZIC1,False,False
ZIC3,False,False
ZIM3,False,False
ZKSC1,True,True
ZN121,True,True
ZN134,False,False
ZN136,False,False
ZN140,False,False
ZN143,False,True
ZN214,False,False
ZN250,False,False
ZN257,False,False
ZN260,False,False
ZN263,True,True
ZN264,False,False
ZN274,False,False
ZN281,True,False
ZN317,True,True
ZN320,False,False
ZN322,False,False
ZN329,False,False
ZN331,False,True
ZN335,False,True
ZN341,False,False
ZN350,False,False
ZN382,False,False
ZN384,True,True
ZN394,False,True
ZN418,False,False
ZN436,False,False
ZN449,False,True
ZN467,True,True
ZN490,False,True
ZN502,False,False
ZN528,False,False
ZN547,False,False
ZN549,False,False
ZN554,False,False
ZN563,False,False
ZN582,False,False
ZN586,False,False
ZN667,False,False
ZN680,False,False
ZN708,False,True
ZN768,True,True
ZN770,True,True
ZN816,False,False
ZNF18,False,False
ZNF41,False,False
ZNF76,True,True
ZNF8,False,False
ZNF85,False,False
ZSC22,False,False
ZSC31,False,False
